"Country","Day","Confirmed","Deaths","Recovered"
"Egypt",1,1,0,0
"Egypt",2,1,0,0
"Egypt",3,1,0,0
"Egypt",4,1,0,0
"Egypt",5,1,0,0
"Egypt",6,1,0,0
"Egypt",7,1,0,0
"Egypt",8,1,0,0
"Egypt",9,1,0,0
"Egypt",10,1,0,0
"Egypt",11,1,0,0
"Egypt",12,1,0,0
"Egypt",13,1,0,0
"Egypt",14,1,0,0
"Egypt",15,1,0,1
"Egypt",16,1,0,1
"Egypt",17,2,0,1
"Egypt",18,2,0,1
"Egypt",19,2,0,1
"Egypt",20,2,0,1
"Egypt",21,3,0,1
"Egypt",22,15,0,1
"Egypt",23,15,0,1
"Egypt",24,49,1,1
"Egypt",25,55,1,12
"Egypt",26,59,1,1
"Egypt",27,60,1,27
"Egypt",28,67,1,27
"Egypt",29,80,2,27
"Egypt",30,109,2,27
"Egypt",31,110,2,21
"Egypt",32,150,2,27
"Egypt",33,196,4,32
"Egypt",34,196,6,32
"Egypt",35,256,6,32
"Egypt",36,285,8,39
"Egypt",37,294,10,41
"Egypt",38,327,14,56
"Egypt",39,366,19,68
"Egypt",40,402,20,80
"Egypt",41,456,21,95
"Egypt",42,495,24,102
"Egypt",43,536,30,116
"Egypt",44,576,36,121
"Egypt",45,609,40,132
"Egypt",46,656,41,150
"Egypt",47,710,46,157
"Egypt",48,779,52,179
"Egypt",49,865,58,201
"Egypt",50,985,66,216
"Egypt",51,1070,71,241
"Egypt",52,1173,78,247
"Egypt",53,1322,85,259
"Egypt",54,1450,94,276
"Egypt",55,1560,103,305
"Egypt",56,1699,118,348
