"Country","Day","Confirmed","Deaths","Recovered"
"Saudi Arabia",1,1,0,0
"Saudi Arabia",2,1,0,0
"Saudi Arabia",3,1,0,0
"Saudi Arabia",4,5,0,0
"Saudi Arabia",5,5,0,0
"Saudi Arabia",6,5,0,0
"Saudi Arabia",7,11,0,0
"Saudi Arabia",8,15,0,0
"Saudi Arabia",9,20,0,1
"Saudi Arabia",10,21,0,1
"Saudi Arabia",11,45,0,1
"Saudi Arabia",12,86,0,1
"Saudi Arabia",13,103,0,1
"Saudi Arabia",14,103,0,1
"Saudi Arabia",15,118,0,2
"Saudi Arabia",16,171,0,6
"Saudi Arabia",17,171,0,6
"Saudi Arabia",18,274,0,6
"Saudi Arabia",19,344,0,8
"Saudi Arabia",20,392,0,16
"Saudi Arabia",21,511,0,17
"Saudi Arabia",22,562,0,19
"Saudi Arabia",23,767,1,28
"Saudi Arabia",24,900,2,29
"Saudi Arabia",25,1012,3,33
"Saudi Arabia",26,1104,3,35
"Saudi Arabia",27,1203,4,37
"Saudi Arabia",28,1299,8,66
"Saudi Arabia",29,1453,8,115
"Saudi Arabia",30,1563,10,165
"Saudi Arabia",31,1720,16,264
"Saudi Arabia",32,1885,21,328
"Saudi Arabia",33,2039,25,351
"Saudi Arabia",34,2179,29,420
"Saudi Arabia",35,2402,34,488
"Saudi Arabia",36,2605,38,551
"Saudi Arabia",37,2795,41,615
"Saudi Arabia",38,2932,41,631
"Saudi Arabia",39,3287,44,666
