"Country","Day","Confirmed","Deaths","Recovered"
"Lebanon",1,1,0,0
"Lebanon",2,1,0,0
"Lebanon",3,1,0,0
"Lebanon",4,1,0,0
"Lebanon",5,1,0,0
"Lebanon",6,2,0,0
"Lebanon",7,2,0,0
"Lebanon",8,2,0,0
"Lebanon",9,4,0,0
"Lebanon",10,10,0,0
"Lebanon",11,13,0,0
"Lebanon",12,13,0,0
"Lebanon",13,13,0,1
"Lebanon",14,16,0,1
"Lebanon",15,22,0,1
"Lebanon",16,22,0,1
"Lebanon",17,32,0,1
"Lebanon",18,32,0,1
"Lebanon",19,41,1,1
"Lebanon",20,61,3,1
"Lebanon",21,61,3,1
"Lebanon",22,77,3,1
"Lebanon",23,93,3,1
"Lebanon",24,110,3,1
"Lebanon",25,99,3,1
"Lebanon",26,120,3,3
"Lebanon",27,133,3,3
"Lebanon",28,157,4,4
"Lebanon",29,163,4,4
"Lebanon",30,187,4,4
"Lebanon",31,248,4,8
"Lebanon",32,267,4,8
"Lebanon",33,318,4,8
"Lebanon",34,333,6,20
"Lebanon",35,368,6,23
"Lebanon",36,391,8,27
"Lebanon",37,412,8,30
"Lebanon",38,438,10,30
"Lebanon",39,446,11,35
"Lebanon",40,470,12,37
"Lebanon",41,479,14,43
"Lebanon",42,494,16,46
"Lebanon",43,508,17,50
"Lebanon",44,520,17,54
"Lebanon",45,527,18,54
"Lebanon",46,541,19,60
"Lebanon",47,548,19,62
"Lebanon",48,576,19,62
"Lebanon",49,582,19,67
