"Country","Day","Confirmed","Deaths","Recovered"
"Barbados",1,2,0,0
"Barbados",2,2,0,0
"Barbados",3,5,0,0
"Barbados",4,5,0,0
"Barbados",5,6,0,0
"Barbados",6,14,0,0
"Barbados",7,17,0,0
"Barbados",8,18,0,0
"Barbados",9,18,0,0
"Barbados",10,18,0,0
"Barbados",11,24,0,0
"Barbados",12,26,0,0
"Barbados",13,33,0,0
"Barbados",14,33,0,0
"Barbados",15,34,0,0
"Barbados",16,34,0,0
"Barbados",17,46,0,0
"Barbados",18,51,0,0
"Barbados",19,52,0,0
"Barbados",20,56,1,6
"Barbados",21,60,2,6
"Barbados",22,63,3,6
"Barbados",23,63,3,8
"Barbados",24,66,3,11
