"Country","Day","Confirmed","Deaths","Recovered"
"Tunisia",1,1,0,0
"Tunisia",2,1,0,0
"Tunisia",3,1,0,0
"Tunisia",4,1,0,0
"Tunisia",5,2,0,0
"Tunisia",6,2,0,0
"Tunisia",7,5,0,0
"Tunisia",8,7,0,0
"Tunisia",9,7,0,0
"Tunisia",10,16,0,0
"Tunisia",11,18,0,0
"Tunisia",12,18,0,0
"Tunisia",13,20,0,0
"Tunisia",14,24,0,0
"Tunisia",15,29,0,0
"Tunisia",16,39,1,0
"Tunisia",17,54,1,0
"Tunisia",18,60,1,0
"Tunisia",19,75,3,1
"Tunisia",20,89,3,1
"Tunisia",21,114,4,1
"Tunisia",22,173,5,2
"Tunisia",23,197,6,2
"Tunisia",24,227,6,2
"Tunisia",25,278,8,2
"Tunisia",26,312,8,2
"Tunisia",27,312,8,3
"Tunisia",28,394,10,3
"Tunisia",29,423,12,5
"Tunisia",30,455,14,5
"Tunisia",31,495,18,5
"Tunisia",32,553,18,5
"Tunisia",33,574,22,5
"Tunisia",34,596,22,5
"Tunisia",35,623,23,25
"Tunisia",36,628,24,25
"Tunisia",37,643,25,25
